视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
1,https://www.youtube.com/watch?v=2rb198Hgllk&list=LL&index=42,25:01,访谈 - 动态（含充分视觉信息）,1, Is Will a strong or weak person?,"多线索推理,人物属性建模",He is strong.,,模型需要在多人物中识别出Will，并对will进行持续追踪，通过will和 Boulder Colorado公园里的人比赛引体向上、俯卧撑等，模型可判断will是一个身体强制的人。,,,,,,,,,,
,,,,2," What brand of clothing do people living in Boulder Colorado, like to wear?",通用知识推理,Lululemon,Will在到达 Boulder Colorado这个城市中，站在街边播报时，说 Boulder Colorado这个城市连空气中都充满了Lululemon的味道，由此可推断Lululemon是 Boulder Colorado中人们最喜欢穿的品牌。,模型需要定位到Will到达 Boulder Colorado这座城市的片段，通过Will对评价 Boulder Colorado城市的空气中都充满了Lululemon的味道，模型可推断 Boulder Colorado中人们最喜欢穿Lululemon的品牌,,,,,,,,,,
,,,,3,What is Kaila Anderson’s occupation?,"人物属性建模,多模态/多语言推理",She is a student.,,模型在多人物中识别 Kaila Anderson，由于 Kaila Anderson出现时并没有名字与职业介绍，模型需要运用多模态，结合她采访时画面中出现的被采访者的名字与职业与 Kaila Anderson本人对应。,,,,,,,,,,
,,,,4,Do men or women feel more pressure living in Boulder Colorado?,"多线索推理,通用知识推理",Women.,Boulder Colorado城市中女性患有饮食障碍的情况是其他城市三倍之多，且根据Boulder Colorado本地人描述他们周围的女性几乎每个人多多少少都会有身材焦虑情况，由此推断在Boulder Colorado女性生活更有压力,模型需要找到视频中多个片段中不同的人对于女性在Boulder Colorado患饮食焦虑等疾病的几率以及当地人对于身边女性生活现状的描述进行总结，从而推理出女性在Boulder Colorado生活压力更大。,,,,,,,,,,
,,,,5,"If you want to join a Cruise Ride in Boulder Colorado, when should you arrive?",通用知识推理,Thursday.,Will在参加Boulder Colorado举办的 Cruise Ride时，介绍这是每周周四在Boulder Colorado举办 Cruise Ride是从上世纪的传统传承下来的惯例，因此如果你想要参加 Boulder Colorado举办的Cruise Ride最好周四前往。,模型需要定位到Will参加 Cruise Ride的片段，通过Will的介绍，模型可知 Cruise Ride的举办传统，因此可以对最适合参加 Cruise Ride的时间进行推理。,,,,,,,,,,
2,https://www.youtube.com/watch?v=bdtDHs5_CRY&list=LL&index=46,21:30,测评 - 生活用品,1,What is the relationship between Lexi and Pierson?,"多线索推理,人物属性建模",Friends.,,模型需要识别Lexi and Pierson两人，并对两人持续追踪，通过Lexi and Pierson两人之间的互动以及熟悉程度，模型可判断两人位朋友关系。,,,,,,,,,,
,,,,2,Does the Smart Speaker Headphone Baseball Cap often break down?,通用知识推理,Yes.,Lexi在介绍Smart Speaker Headphone Baseball Cap这款产品时，说到你要当心，因为它不是每次都能正常工作，在Lexi读评价时也说到有的用户表示这款产品很好，不管它break down多少次，我都会把它修好，由此可推断这款产品质量不高，经常坏掉,模型需结合Lexi在介绍Smart Speaker Headphone Baseball Cap这款产品时给出的信息和用户评价综合判断出这款产品的质量。,,,,,,,,,,
,,,,3,Is Lexi a brave or timid person?,人物属性建模,A timid person.,,模型需要定位到Lexi展示chicken harness的片段，通过Lexi不敢给鸡套上harness，并且被一只小鸡吓到跑进房间里，模型可推断Lexi是一个胆小的人。,,,,,,,,,,
,,,,4,"If you often spill water when holding a cup, what product do you need the most?",通用知识推理,A glass holder.,Lexi和Pierson测试glass holder时，Lexi用glass holder连带杯子旋转360度多次水都不会洒，由此推断，如果你平时端水时，水会洒出来，一个glass holder就是你最好的选择。,模型许定位到Lexi和Pierson测试glass holder，通过glass holder360度旋转都不会洒的特点，模型可判断，glass holder是让你端水时，水不会洒出来的神器。,,,,,,,,,,
,,,,5,How many items did Lexi show in total in this video?,多线索推理,24 items.,,模型需要浏览整个视频，对Lexi在整个视频中展示的物品进行多片段识别，计算在视频中一共展示的物品件数，最后对展示物品总数进行总结。,,,,,,,,,,
3,https://www.youtube.com/watch?v=T0vuDvEASO0,28:25,教学 - 工业制造,1,Can gorillas be infected with viruses that occur in humans?,通用知识推理,Yes.,视频中的Ruby是一个两岁的虚弱的猩猩，Imam每次接近她时都会戴上口罩，是为了避免将病毒传染给它，由此可知人类的病毒是可以传染给猩猩的。,模型需定位到介绍印度尼西亚婆罗洲岛的片段，这里的猩猩濒临灭绝，救援人员与之相处时都会戴上口罩，防止将病毒传染给他们。,,,,,,,,,,
,,,,2,How many steps in extracting palm oil for use in bread?,"多模态/多语言推理,通用知识推理",Four.,视频中介绍，要把面包磨成碎屑，然后加入酶，引入培养皿，最后送到各大面包店，一共4步。,模型需定位到介绍thomas等人提取面包中的棕榈油的过程，视频中显示的示意图共有四步。,,,,,,,,,,
,,,,3,Is Ludovic a good bread baker?,"多线索推理,人物属性建模",Yes.,,模型需定位到慕尼黑郊区小镇上一位烘焙师的片段，他使用当地的原料以及独特的调味剂制作出的面包深受当地人喜爱，并且不断精进制作的过程，由此可知他是一位优秀的烘焙师。,,,,,,,,,,
,,,,4,What's the relationship between Ludovic and Thomas?,"人物属性建模,多模态/多语言推理",They are partners.,,Ludovic是一名面包烘焙师，而Thomas需要棕榈油，而Ludovic剩下的面包可以制作棕榈油，满足Thomas的需求，因此二人是合作者,,,,,,,,,,
,,,,5,What color is the Japanese packaging that markus took out in the video?,多模态/多语言推理,Brown,,模型需定位到马尔库斯讲述利用空果串制作包装的片段，片段中他介绍日本对外包装的要求很高，通过观察他手中拿的包装，可以看到是棕色的。,,,,,,,,,,
4,https://www.youtube.com/watch?v=wu7PjKawjwI,28:25,教学 - 工业制造,1,What devices are used to maintain the indoor temperature in a room where vertical work is carried out?,通用知识推理,Aluminum Plate,视频中介绍铝板可以吸收热量并释放到垂直农业的房间中，使房间的温度维持在22-26摄氏度，是蔬菜的理想生存温度。由此可知金属铝是吸收热量并释放热量的。,模型需定位到Anders的垂直农业的片段，视频中介绍，这种农业模式使用铝板来吸收热量，由此可知，铝市吸收热量的。,,,,,,,,,,
,,,,2,Does the cattle farming industry produce harmful gases?,通用知识推理,Yes,视频中西尔维亚说到藻类可以掺杂在肉类当中食用，这样肉类可以减少生产，因为养牛产业会释放甲烷和二氧化碳，由此可知养牛产业是会释放有害气体的。,模型需定位到西尔维亚在切香肠和制作汉堡的片段，视频中介绍到，牛肉汉堡和香肠并不是纯肉类制作的，里面掺杂了藻类，这样可以减少肉的使用，由此减少养牛产业的产出，减少有害气体。,,,,,,,,,,
,,,,3,Is Jonas a person who is good at finding business opportunities or a person who is content with the status quo?,人物属性建模,He is good at finding business opportunities.,,模型需定位到jonas在藜麦田的片段，他说这是他喜欢做的事情，并且藜麦美味又健康，他将会适应未来的气候种植一些作物，并由长远打算，由此可见他是一个善于发现商机的人。,,,,,,,,,,
,,,,4,Is Sylvia someone who knows a lot about underwater plants or a little?,"人物属性建模,多模态/多语言推理",she knows a lot,,模型需定位到西尔维亚在船上的片段，她对出海情况了如指掌，并且能够快速判断可食用海藻的种类，由此可知她对水下植物了解很多。,,,,,,,,,,
,,,,5,What color is the sugar kelp that Sylvia fished?,多模态/多语言推理,Brown,,模型需定位到西尔维亚在海上打捞水下植物的片段，通过观察她区分了打捞上来的糖海带和海带，通过观察可知糖海带是棕色的。,,,,,,,,,,
