视频序号,视频_url,视频长度（min）,视频类型,问题序号,"问题
","问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
1,https://www.youtube.com/watch?v=Efk3K4epEzg,20:13,综艺 - 纪实（真人秀）,1,Which collection has the highest starting price？,多线索推理,Pirate Ship Float,,一共五件藏品线性出现，模型需要在多个时间片段获得藏品的要价信息进行比对。,,,,,,,,,,
,,,,2,What did the authentication expert do after examining the ink marks on the Led Zeppelin album? ,多跳推理,Compare the handwriting.,,模型要先定位到鉴定专辑墨迹的环节，在分析鉴定专家的行为，从而知道他再比对笔迹,,,,,,,,,,
,,,,3,Which collection is Boss's favorite,"多跳推理,人物属性建模",the album of Led Zeppelin,,模型应首先从第五位卖家片段得知Rick是老板，再搜索Rick对不同藏品的评价和反应，从Rick要将专辑收藏而非出售知道他最喜欢齐柏林飞艇的专辑,,,,,,,,,,
,,,,4,Whether Rick trusts Trump's abilities,"多线索推理,人物属性建模",NO,,从Rick给Trump发短信指挥他工作，并在和他人对话中说trump是傻瓜，说明Rick不信任trump的能力,,,,,,,,,,
,,,,5,Is the collection of Pez Dispensers a popular collecting culture in the United States? ,通用知识推理,Yes,Pez Dispensers是美国流行的收藏文化,根据视频内容Pez Dispensers形成了独特收藏社区，并且通过收藏者，店员的话知道有许多人参与Pez Dispensers买卖收集,,,,,,,,,,
,,,,6,Is writing habit an important means of identification?,通用知识推理,yes,书写习惯是重要的收藏鉴定手段,在提供的关于麦当娜 1988 年个人日程本和电话簿的对话中，提到鉴定者在判断日程本真实性时，通过检查字迹是否符合麦当娜一些特殊的书写习惯来鉴定。,,,,,,,,,,
2,https://www.youtube.com/watch?v=7F5RQqUJfns,22:39,访谈 - 动态（含充分视觉信息）,1,Is Singapore a racially diverse society?,多线索推理,Yes,,在视频中出现了华人，印度人，不同肤色的多种族人群，整合信息判断新加坡是种族多元的,,,,,,,,,,
,,,,2,Is it free or chargeable to call 995 in Singapore for mild burns?,通用知识推理, chargeable,新加坡医疗紧急电话995对紧急救援是免费的，对非紧急救援是收费的,995对紧急救援是免费的，对非紧急救援是收费的，而轻度烧伤属于非紧急救援,,,,,,,,,,
,,,,3,Is Theresa Yeap objective and candid?,"多线索推理,人物属性建模",Yes,,在介绍服务时，客观地阐述了 1777 热线服务与 995 紧急服务的差异，不回避私人救护车服务的特点和可能存在的情况，如私人救护车服务的性质为非紧急，以及不同类型服务所具备的设备和能力差异等，表现出坦诚的态度。,,,,,,,,,,
,,,,4,How quickly must emergency treatment begin after a cardiac arrest?,通用知识推理,Start the emergency treatment within one minute.,心脏停跳后，血液中残留的氧气仅能维持1 分钟，随后全身器官（尤其是大脑）因缺氧开始受损。,心脏停跳后，血液中残留的氧气仅能维持1 分钟，随后全身器官（尤其是大脑）因缺氧开始受损。为了避免病人身体损伤，心脏骤停急救必须在一分钟内开始,,,,,,,,,,
