视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
1,https://www.youtube.com/watch?v=ZorUPMeKgh0,22:02,教学 - 烹饪,1,Is Ethan a science guy? ,人物属性建模,Yes.,,模型需要根据整个视频进行判断，视频中Ethan非常严谨地做实验，结论也都有科学依据，由此可见Ethan是个喜欢科学的人。,,,,,,,,,,
,,,,2,What characteristics of ground beef indicate that it has a lot of fat? ,通用知识推理,There is more white in the ground beef.,视频中展示了三个不同瘦肉肥肉比例的肉饼，可以看到肥肉越多的肉饼其中的白色颗粒也越多，由此可知碎牛肉中白色占比越大，牛肉的脂肪也越多。,模型需要定位展示了三个不同瘦肉肥肉比例的肉饼的片段，根据片段中的画面和文字提示可知碎牛肉中白色占比越大，牛肉的脂肪也越多。,,,,,,,,,,
,,,,3,What is the ratio of beef to fat that will make the beef patties more browned after being fried? ,通用知识推理,"The more fat, the more browned the color.",根据视频中实验一，煎相同时间，肥肉比瘦肉颜色更焦黄，由此可知给牛肉饼上色的成分主要是肥肉，因此牛肉饼中肥肉占比更多，颜色更焦黄。,模型需要定位第一个实验的片段，根据实验结果可知给牛肉饼上色的成分主要是肥肉，因此可以分析出牛肉饼中肥肉占比更多，颜色更焦黄。,,,,,,,,,,
,,,,4,How many experiments did Ethan perform in the video?,多线索推理,Five.,,模型需要识别不同实验的片段，并进行统计，得出Ethan一共做了五个实验。,,,,,,,,,,
,,,,5,Do Ethan and his brother have similar tastes? ,人物属性建模,Yes.,,模型需要定位两次Ethan和他弟弟品尝汉堡的片段，片段中Ethan和他弟弟对汉堡的偏好都一样，由此可知Ethan和他弟弟的口味相同。,,,,,,,,,,
2,https://youtu.be/FWDZAwfOxNg?si=o4ZR6Nh_dkIPUzhW,23:08,vlog - 派对,1,Is PRINCESS&THE PEA hotel more suitable for boys or girls?,通用知识推理,For girls.,视频中可以看出酒店的整体风格是粉白色公主风的，Fernanda和Jacob说自己在里面像公主一样。,模型需要根据视频中酒店的图像和两个主角的语言来推理出答案。,,,,,,,,,,
,,,,2,Is Haven Restaurant a good place for a date?,通用知识推理,Yes.,视频中可以看到餐厅的装修风格很舒适且餐厅有上下两层，面积很大。Fernanda和Jacob说这里的环境很舒适，服务很好，食物也很好吃。,模型需要结合餐厅的图像和主人公的评价来推理出答案。,,,,,,,,,,
,,,,3,What is the relationship between Fernanda and Jacob?,人物属性建模,They are lovers.,,模型需要根据两个人一起约会，举止亲密且晚上住在一个酒店的房间里的片段来推理出答案。,,,,,,,,,,
,,,,4,Is Fernanda an extrovert or an introvert?,人物属性建模,An extrovert.,,Fernanda在视频中参加了朋友的派对且自己生日举办了很多活动和派对，在派对中她表现的非常开朗，与很多人一起玩耍跳舞。,,,,,,,,,,
,,,,5,"After Fernanda and her friends had a birthday party at home in the evening, where did they go to celebrate?",多跳推理,A nightclub.,,模型需要先定位到最后一晚的生日派对，再找到后面她们去的地方。,,,,,,,,,,
3,https://youtu.be/aptFRdzrVXk?si=0eVkU9-_i3QvSnfg,25:36,vlog - 日常（综合）,1,Where is Maggie from?,人物属性建模,She is Korean.,,Maggie说有一家韩餐厅的饭非常正宗，味道很像自己韩国奶奶做的。,,,,,,,,,,
,,,,2,Is Maggie a budget-conscious person?,人物属性建模,Yes.,,Maggie去买运动鞋前她说自己的鞋子已经很多年了，已经破洞了；她收到网购的衣服时说自己只会留下非常喜欢的；她去店里退掉衣服；,,,,,,,,,,
