视频序号,视频_url,视频长度（min）,视频类型,问题序号,"问题
","问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
1,https://www.youtube.com/watch?v=CX4n8wj72Is,24:57,纪录片 - 人文,1,What is the coming-of-age ceremony of the Bissago people?,通用知识推理,The fanado ceremony.,比热戈斯人成年的仪式,根据Beto说部落中孩子需要完成fanado仪式的时候就意味着成为成年人了可以得出,,,,,,,,,,
,,,,2,Which country does the Bijagos Archipelago belong to?,通用知识推理,Guinea-Bissau,比热戈斯群岛属于哪个国家,根据Mark所说比热戈斯人居住在几内亚比绍海岸外的岛屿中以及画面上的信息可以得出,,,,,,,,,,
,,,,3,What did Mark and Beto do after they had seen the hippopotamuses? ,多跳推理,They went to Orango Island to see the green sea turtles.,,模型需要先定位到Mark和Beto去河边看河马的时候然后分析他们接下来去干了什么,,,,,,,,,,
,,,,4,Is Manuel an introverted person or a talkative person?,人物属性建模,He is an  introverted person.,,根据Manuel出海捕鱼时很少说话只有当Mark询问他时才会回答可以看出他是一个内向的人,,,,,,,,,,
,,,,5,Is Mark a person who likes to try new things?,人物属性建模,Yes,,根据Mark主动尝试用网捕鱼以及驱赶织布鸟可以看出他是一个热衷于尝试新事物的人,,,,,,,,,,
2,https://www.youtube.com/watch?v=BDX9VzQ5l-I,25:55,纪录片-历史纪实,1,Which country was the first to discover the island of Saint Helena? ,通用知识推理,Portugal,圣赫勒拿岛最早由哪国发现,根据视频中说的葡萄牙最先把圣赫勒拿岛作为储存淡水和收集水果蔬菜的地方几十年后才被英法等国发现可知,,,,,,,,,,
,,,,2,Which country is Jacob's Ladder located in?,通用知识推理,England,雅各布天梯的位置,根据Snow在圣赫勒拿岛上介绍并尝试了雅各布天梯，并且圣赫勒拿岛属于英国可以得出,,,,,,,,,,
,,,,3,Where did Snow go after he tried the Jacob's Ladder?,多跳推理,Ruperts Valley.,,模型需要先定位到Snow尝试爬雅各布天梯的时刻然后分析判断他接下来去了哪里,,,,,,,,,,
,,,,4,Is Michelle a conscientious and responsible person or a careless one? ,人物属性建模,He is a conscientious and responsible person.,,根据Michelle一丝不苟地根据资料历史重建了拿破仑的住所可以看出,,,,,,,,,,
,,,,5,Does Snow have great physical strength?,人物属性建模,No,,根据Snow爬完雅各布天体后气喘吁吁的样子以及拒绝再次攀爬可以看出,,,,,,,,,,
